Jurisdiction,Not in ICU,ICU,Date,Active outbreaks in aged care homes as at 13 Sep 2022,Active outbreaks in aged care homes as at 20 Sep 2022,Active outbreaks in aged care homes as at 21 Sep 2022,Active outbreaks in aged care homes as at 28 Sep 2022,Active outbreaks in aged care homes as at 05 Oct 2022,Active outbreaks in aged care homes as at 12 Oct 2022,Active outbreaks in aged care homes as at 19 Oct 2022,Active outbreaks in aged care homes as at 26 Oct 2022,Active outbreaks in aged care homes as at 02 Nov 2022,Active outbreaks in aged care homes as at 09 Nov 2022,Active outbreaks in aged care homes as at 16 Nov 2022
TAS,0.0,0.0,2021-11-25,,,,,,,,,,,
SA,0.0,0.0,2021-11-25,,,,,,,,,,,
QLD,3.0,0.0,2021-11-25,,,,,,,,,,,
NT,52.0,0.0,2021-11-25,,,,,,,,,,,
NSW,160.0,31.0,2021-11-25,,,,,,,,,,,
ACT,4.0,3.0,2021-11-25,,,,,,,,,,,
VIC,262.0,48.0,2021-11-25,,,,,,,,,,,
WA,0.0,0.0,2021-11-25,,,,,,,,,,,
TAS,0.0,0.0,2021-11-26,,,,,,,,,,,
ACT,3.0,4.0,2021-11-26,,,,,,,,,,,
NSW,158.0,27.0,2021-11-26,,,,,,,,,,,
NT,52.0,0.0,2021-11-26,,,,,,,,,,,
QLD,5.0,0.0,2021-11-26,,,,,,,,,,,
SA,0.0,0.0,2021-11-26,,,,,,,,,,,
VIC,262.0,46.0,2021-11-26,,,,,,,,,,,
WA,0.0,0.0,2021-11-26,,,,,,,,,,,
Australia,480.0,77.0,2021-11-26,,,,,,,,,,,
WA,0.0,0.0,2021-11-27,,,,,,,,,,,
VIC,257.0,42.0,2021-11-27,,,,,,,,,,,
TAS,0.0,0.0,2021-11-27,,,,,,,,,,,
SA,0.0,0.0,2021-11-27,,,,,,,,,,,
NSW,148.0,26.0,2021-11-27,,,,,,,,,,,
NT,52.0,0.0,2021-11-27,,,,,,,,,,,
ACT,1.0,5.0,2021-11-27,,,,,,,,,,,
Australia,463.0,73.0,2021-11-27,,,,,,,,,,,
QLD,5.0,0.0,2021-11-27,,,,,,,,,,,
TAS,0.0,0.0,2021-11-28,,,,,,,,,,,
WA,0.0,0.0,2021-11-28,,,,,,,,,,,
VIC,239.0,44.0,2021-11-28,,,,,,,,,,,
SA,0.0,0.0,2021-11-28,,,,,,,,,,,
QLD,4.0,0.0,2021-11-28,,,,,,,,,,,
NT,53.0,0.0,2021-11-28,,,,,,,,,,,
NSW,141.0,24.0,2021-11-28,,,,,,,,,,,
ACT,2.0,5.0,2021-11-28,,,,,,,,,,,
Australia,439.0,73.0,2021-11-28,,,,,,,,,,,
TAS,0.0,0.0,2021-11-29,,,,,,,,,,,
SA,0.0,0.0,2021-11-29,,,,,,,,,,,
QLD,7.0,0.0,2021-11-29,,,,,,,,,,,
NT,58.0,0.0,2021-11-29,,,,,,,,,,,
NSW,145.0,25.0,2021-11-29,,,,,,,,,,,
ACT,2.0,5.0,2021-11-29,,,,,,,,,,,
Australia,467.0,75.0,2021-11-29,,,,,,,,,,,
WA,0.0,0.0,2021-11-29,,,,,,,,,,,
VIC,255.0,45.0,2021-11-29,,,,,,,,,,,
NSW,134.0,26.0,2021-11-30,,,,,,,,,,,
WA,0.0,0.0,2021-11-30,,,,,,,,,,,
VIC,264.0,41.0,2021-11-30,,,,,,,,,,,
TAS,0.0,0.0,2021-11-30,,,,,,,,,,,
SA,0.0,0.0,2021-11-30,,,,,,,,,,,
QLD,12.0,0.0,2021-11-30,,,,,,,,,,,
NT,58.0,0.0,2021-11-30,,,,,,,,,,,
ACT,4.0,4.0,2021-11-30,,,,,,,,,,,
Australia,472.0,71.0,2021-11-30,,,,,,,,,,,
VIC,256.0,43.0,2021-12-01,,,,,,,,,,,
WA,0.0,0.0,2021-12-01,,,,,,,,,,,
Australia,461.0,71.0,2021-12-01,,,,,,,,,,,
ACT,5.0,3.0,2021-12-01,,,,,,,,,,,
NSW,129.0,25.0,2021-12-01,,,,,,,,,,,
NT,57.0,0.0,2021-12-01,,,,,,,,,,,
QLD,14.0,0.0,2021-12-01,,,,,,,,,,,
SA,0.0,0.0,2021-12-01,,,,,,,,,,,
TAS,0.0,0.0,2021-12-01,,,,,,,,,,,
ACT,4.0,3.0,2021-12-02,,,,,,,,,,,
VIC,247.0,41.0,2021-12-02,,,,,,,,,,,
TAS,0.0,0.0,2021-12-02,,,,,,,,,,,
SA,0.0,0.0,2021-12-02,,,,,,,,,,,
NT,60.0,0.0,2021-12-02,,,,,,,,,,,
NSW,120.0,24.0,2021-12-02,,,,,,,,,,,
WA,0.0,0.0,2021-12-02,,,,,,,,,,,
Australia,445.0,68.0,2021-12-02,,,,,,,,,,,
QLD,14.0,0.0,2021-12-02,,,,,,,,,,,
Australia,440.0,71.0,2021-12-03,,,,,,,,,,,
VIC,246.0,43.0,2021-12-03,,,,,,,,,,,
TAS,0.0,0.0,2021-12-03,,,,,,,,,,,
SA,1.0,0.0,2021-12-03,,,,,,,,,,,
QLD,16.0,0.0,2021-12-03,,,,,,,,,,,
NT,61.0,0.0,2021-12-03,,,,,,,,,,,
NSW,115.0,25.0,2021-12-03,,,,,,,,,,,
ACT,1.0,3.0,2021-12-03,,,,,,,,,,,
WA,0.0,0.0,2021-12-03,,,,,,,,,,,
Australia,444.0,73.0,2021-12-04,,,,,,,,,,,
NT,61.0,1.0,2021-12-04,,,,,,,,,,,
QLD,21.0,0.0,2021-12-04,,,,,,,,,,,
SA,1.0,0.0,2021-12-04,,,,,,,,,,,
TAS,0.0,0.0,2021-12-04,,,,,,,,,,,
VIC,244.0,44.0,2021-12-04,,,,,,,,,,,
WA,0.0,0.0,2021-12-04,,,,,,,,,,,
ACT,3.0,3.0,2021-12-04,,,,,,,,,,,
NSW,114.0,25.0,2021-12-04,,,,,,,,,,,
Australia,472.0,69.0,2021-12-05,,,,,,,,,,,
ACT,4.0,2.0,2021-12-05,,,,,,,,,,,
VIC,259.0,40.0,2021-12-05,,,,,,,,,,,
TAS,0.0,0.0,2021-12-05,,,,,,,,,,,
SA,1.0,0.0,2021-12-05,,,,,,,,,,,
QLD,25.0,0.0,2021-12-05,,,,,,,,,,,
WA,0.0,0.0,2021-12-05,,,,,,,,,,,
NT,61.0,1.0,2021-12-05,,,,,,,,,,,
NSW,122.0,26.0,2021-12-05,,,,,,,,,,,
Australia,489.0,73.0,2021-12-06,,,,,,,,,,,
ACT,3.0,3.0,2021-12-06,,,,,,,,,,,
NSW,128.0,24.0,2021-12-06,,,,,,,,,,,
NT,63.0,1.0,2021-12-06,,,,,,,,,,,
QLD,29.0,0.0,2021-12-06,,,,,,,,,,,
SA,1.0,0.0,2021-12-06,,,,,,,,,,,
TAS,0.0,0.0,2021-12-06,,,,,,,,,,,
VIC,265.0,45.0,2021-12-06,,,,,,,,,,,
WA,0.0,0.0,2021-12-06,,,,,,,,,,,
Australia,465.0,78.0,2021-12-07,,,,,,,,,,,
ACT,2.0,3.0,2021-12-07,,,,,,,,,,,
NSW,127.0,28.0,2021-12-07,,,,,,,,,,,
NT,51.0,0.0,2021-12-07,,,,,,,,,,,
QLD,33.0,0.0,2021-12-07,,,,,,,,,,,
SA,2.0,0.0,2021-12-07,,,,,,,,,,,
TAS,0.0,0.0,2021-12-07,,,,,,,,,,,
VIC,250.0,47.0,2021-12-07,,,,,,,,,,,
WA,0.0,0.0,2021-12-07,,,,,,,,,,,
Australia,450.0,79.0,2021-12-08,,,,,,,,,,,
ACT,2.0,2.0,2021-12-08,,,,,,,,,,,
NSW,126.0,25.0,2021-12-08,,,,,,,,,,,
NT,34.0,1.0,2021-12-08,,,,,,,,,,,
QLD,34.0,0.0,2021-12-08,,,,,,,,,,,
SA,2.0,0.0,2021-12-08,,,,,,,,,,,
TAS,0.0,0.0,2021-12-08,,,,,,,,,,,
VIC,252.0,51.0,2021-12-08,,,,,,,,,,,
WA,0.0,0.0,2021-12-08,,,,,,,,,,,
Australia,460.0,79.0,2021-12-09,,,,,,,,,,,
ACT,3.0,2.0,2021-12-09,,,,,,,,,,,
NSW,126.0,25.0,2021-12-09,,,,,,,,,,,
NT,39.0,0.0,2021-12-09,,,,,,,,,,,
QLD,27.0,0.0,2021-12-09,,,,,,,,,,,
SA,2.0,0.0,2021-12-09,,,,,,,,,,,
TAS,0.0,0.0,2021-12-09,,,,,,,,,,,
VIC,263.0,52.0,2021-12-09,,,,,,,,,,,
WA,0.0,0.0,2021-12-09,,,,,,,,,,,
Australia,457.0,87.0,2021-12-10,,,,,,,,,,,
ACT,3.0,2.0,2021-12-10,,,,,,,,,,,
NSW,134.0,24.0,2021-12-10,,,,,,,,,,,
NT,41.0,0.0,2021-12-10,,,,,,,,,,,
QLD,25.0,0.0,2021-12-10,,,,,,,,,,,
SA,2.0,0.0,2021-12-10,,,,,,,,,,,
TAS,0.0,0.0,2021-12-10,,,,,,,,,,,
VIC,252.0,61.0,2021-12-10,,,,,,,,,,,
WA,0.0,0.0,2021-12-10,,,,,,,,,,,
Australia,446.0,95.0,2021-12-11,,,,,,,,,,,
ACT,3.0,2.0,2021-12-11,,,,,,,,,,,
NSW,125.0,25.0,2021-12-11,,,,,,,,,,,
NT,31.0,0.0,2021-12-11,,,,,,,,,,,
QLD,29.0,0.0,2021-12-11,,,,,,,,,,,
SA,3.0,0.0,2021-12-11,,,,,,,,,,,
TAS,0.0,0.0,2021-12-11,,,,,,,,,,,
VIC,255.0,68.0,2021-12-11,,,,,,,,,,,
WA,0.0,0.0,2021-12-11,,,,,,,,,,,
Australia,436.0,99.0,2021-12-12,,,,,,,,,,,
ACT,2.0,2.0,2021-12-12,,,,,,,,,,,
NSW,133.0,23.0,2021-12-12,,,,,,,,,,,
NT,34.0,0.0,2021-12-12,,,,,,,,,,,
QLD,28.0,0.0,2021-12-12,,,,,,,,,,,
SA,3.0,0.0,2021-12-12,,,,,,,,,,,
TAS,0.0,0.0,2021-12-12,,,,,,,,,,,
VIC,236.0,74.0,2021-12-12,,,,,,,,,,,
WA,0.0,0.0,2021-12-12,,,,,,,,,,,
Australia,466.0,103.0,2021-12-13,,,,,,,,,,,
ACT,2.0,2.0,2021-12-13,,,,,,,,,,,
NSW,147.0,24.0,2021-12-13,,,,,,,,,,,
NT,40.0,0.0,2021-12-13,,,,,,,,,,,
QLD,28.0,0.0,2021-12-13,,,,,,,,,,,
SA,3.0,0.0,2021-12-13,,,,,,,,,,,
TAS,0.0,0.0,2021-12-13,,,,,,,,,,,
VIC,246.0,77.0,2021-12-13,,,,,,,,,,,
WA,0.0,0.0,2021-12-13,,,,,,,,,,,
Australia,508.0,102.0,2021-12-14,,,,,,,,,,,
ACT,3.0,1.0,2021-12-14,,,,,,,,,,,
NSW,147.0,21.0,2021-12-14,,,,,,,,,,,
NT,47.0,0.0,2021-12-14,,,,,,,,,,,
QLD,25.0,0.0,2021-12-14,,,,,,,,,,,
SA,2.0,0.0,2021-12-14,,,,,,,,,,,
TAS,0.0,0.0,2021-12-14,,,,,,,,,,,
VIC,284.0,80.0,2021-12-14,,,,,,,,,,,
WA,0.0,0.0,2021-12-14,,,,,,,,,,,
Australia,516.0,109.0,2021-12-15,,,,,,,,,,,
ACT,2.0,1.0,2021-12-15,,,,,,,,,,,
NSW,142.0,24.0,2021-12-15,,,,,,,,,,,
NT,61.0,0.0,2021-12-15,,,,,,,,,,,
QLD,28.0,0.0,2021-12-15,,,,,,,,,,,
SA,2.0,0.0,2021-12-15,,,,,,,,,,,
TAS,0.0,0.0,2021-12-15,,,,,,,,,,,
VIC,281.0,84.0,2021-12-15,,,,,,,,,,,
WA,0.0,0.0,2021-12-15,,,,,,,,,,,
Australia,558.0,114.0,2021-12-16,,,,,,,,,,,
ACT,2.0,1.0,2021-12-16,,,,,,,,,,,
NSW,166.0,26.0,2021-12-16,,,,,,,,,,,
NT,62.0,0.0,2021-12-16,,,,,,,,,,,
QLD,30.0,0.0,2021-12-16,,,,,,,,,,,
SA,1.0,0.0,2021-12-16,,,,,,,,,,,
TAS,0.0,0.0,2021-12-16,,,,,,,,,,,
VIC,297.0,87.0,2021-12-16,,,,,,,,,,,
WA,0.0,0.0,2021-12-16,,,,,,,,,,,
Australia,610.0,106.0,2021-12-17,,,,,,,,,,,
ACT,4.0,0.0,2021-12-17,,,,,,,,,,,
NSW,191.0,24.0,2021-12-17,,,,,,,,,,,
NT,67.0,0.0,2021-12-17,,,,,,,,,,,
QLD,42.0,0.0,2021-12-17,,,,,,,,,,,
SA,2.0,0.0,2021-12-17,,,,,,,,,,,
TAS,0.0,0.0,2021-12-17,,,,,,,,,,,
VIC,304.0,82.0,2021-12-17,,,,,,,,,,,
WA,0.0,0.0,2021-12-17,,,,,,,,,,,
Australia,607.0,110.0,2021-12-18,,,,,,,,,,,
ACT,3.0,0.0,2021-12-18,,,,,,,,,,,
NSW,180.0,26.0,2021-12-18,,,,,,,,,,,
NT,71.0,0.0,2021-12-18,,,,,,,,,,,
QLD,51.0,0.0,2021-12-18,,,,,,,,,,,
SA,2.0,0.0,2021-12-18,,,,,,,,,,,
TAS,0.0,0.0,2021-12-18,,,,,,,,,,,
VIC,300.0,84.0,2021-12-18,,,,,,,,,,,
WA,0.0,0.0,2021-12-18,,,,,,,,,,,
Australia,650.0,109.0,2021-12-19,,,,,,,,,,,
ACT,3.0,0.0,2021-12-19,,,,,,,,,,,
NSW,199.0,28.0,2021-12-19,,,,,,,,,,,
NT,76.0,0.0,2021-12-19,,,,,,,,,,,
QLD,57.0,0.0,2021-12-19,,,,,,,,,,,
SA,4.0,0.0,2021-12-19,,,,,,,,,,,
TAS,0.0,0.0,2021-12-19,,,,,,,,,,,
VIC,311.0,81.0,2021-12-19,,,,,,,,,,,
WA,0.0,0.0,2021-12-19,,,,,,,,,,,
Australia,710.0,114.0,2021-12-20,,,,,,,,,,,
ACT,3.0,0.0,2021-12-20,,,,,,,,,,,
NSW,228.0,33.0,2021-12-20,,,,,,,,,,,
NT,82.0,0.0,2021-12-20,,,,,,,,,,,
QLD,66.0,0.0,2021-12-20,,,,,,,,,,,
SA,6.0,0.0,2021-12-20,,,,,,,,,,,
TAS,0.0,0.0,2021-12-20,,,,,,,,,,,
VIC,325.0,81.0,2021-12-20,,,,,,,,,,,
WA,0.0,0.0,2021-12-20,,,,,,,,,,,
Australia,737.0,113.0,2021-12-21,,,,,,,,,,,
ACT,3.0,0.0,2021-12-21,,,,,,,,,,,
NSW,245.0,39.0,2021-12-21,,,,,,,,,,,
NT,89.0,0.0,2021-12-21,,,,,,,,,,,
QLD,74.0,1.0,2021-12-21,,,,,,,,,,,
SA,7.0,0.0,2021-12-21,,,,,,,,,,,
TAS,0.0,0.0,2021-12-21,,,,,,,,,,,
VIC,319.0,73.0,2021-12-21,,,,,,,,,,,
WA,0.0,0.0,2021-12-21,,,,,,,,,,,
Australia,737.0,113.0,2021-12-22,,,,,,,,,,,
ACT,3.0,0.0,2021-12-22,,,,,,,,,,,
NSW,245.0,39.0,2021-12-22,,,,,,,,,,,
NT,89.0,0.0,2021-12-22,,,,,,,,,,,
QLD,74.0,1.0,2021-12-22,,,,,,,,,,,
SA,7.0,0.0,2021-12-22,,,,,,,,,,,
TAS,0.0,0.0,2021-12-22,,,,,,,,,,,
VIC,319.0,73.0,2021-12-22,,,,,,,,,,,
WA,0.0,0.0,2021-12-22,,,,,,,,,,,
Australia,863.0,131.0,2021-12-24,,,,,,,,,,,
ACT,2.0,0.0,2021-12-24,,,,,,,,,,,
NSW,329.0,53.0,2021-12-24,,,,,,,,,,,
NT,93.0,1.0,2021-12-24,,,,,,,,,,,
QLD,110.0,1.0,2021-12-24,,,,,,,,,,,
SA,7.0,1.0,2021-12-24,,,,,,,,,,,
TAS,0.0,0.0,2021-12-24,,,,,,,,,,,
VIC,322.0,75.0,2021-12-24,,,,,,,,,,,
WA,0.0,0.0,2021-12-24,,,,,,,,,,,
Australia,863.0,131.0,2021-12-25,,,,,,,,,,,
ACT,2.0,0.0,2021-12-25,,,,,,,,,,,
NSW,329.0,53.0,2021-12-25,,,,,,,,,,,
NT,93.0,1.0,2021-12-25,,,,,,,,,,,
QLD,110.0,1.0,2021-12-25,,,,,,,,,,,
SA,7.0,1.0,2021-12-25,,,,,,,,,,,
TAS,0.0,0.0,2021-12-25,,,,,,,,,,,
VIC,322.0,75.0,2021-12-25,,,,,,,,,,,
WA,0.0,0.0,2021-12-25,,,,,,,,,,,
Australia,922.0,133.0,2021-12-26,,,,,,,,,,,
ACT,1.0,0.0,2021-12-26,,,,,,,,,,,
NSW,406.0,52.0,2021-12-26,,,,,,,,,,,
NT,104.0,1.0,2021-12-26,,,,,,,,,,,
QLD,100.0,0.0,2021-12-26,,,,,,,,,,,
SA,14.0,3.0,2021-12-26,,,,,,,,,,,
TAS,0.0,0.0,2021-12-26,,,,,,,,,,,
VIC,297.0,77.0,2021-12-26,,,,,,,,,,,
WA,0.0,0.0,2021-12-26,,,,,,,,,,,
Australia,960.0,140.0,2021-12-27,,,,,,,,,,,
ACT,1.0,0.0,2021-12-27,,,,,,,,,,,
NSW,466.0,55.0,2021-12-27,,,,,,,,,,,
NT,114.0,1.0,2021-12-27,,,,,,,,,,,
QLD,72.0,0.0,2021-12-27,,,,,,,,,,,
SA,19.0,4.0,2021-12-27,,,,,,,,,,,
TAS,0.0,0.0,2021-12-27,,,,,,,,,,,
VIC,288.0,80.0,2021-12-27,,,,,,,,,,,
WA,0.0,0.0,2021-12-27,,,,,,,,,,,
Australia,1011.0,135.0,2021-12-28,,,,,,,,,,,
ACT,3.0,0.0,2021-12-28,,,,,,,,,,,
NSW,497.0,60.0,2021-12-28,,,,,,,,,,,
NT,99.0,1.0,2021-12-28,,,,,,,,,,,
QLD,89.0,0.0,2021-12-28,,,,,,,,,,,
SA,31.0,5.0,2021-12-28,,,,,,,,,,,
TAS,0.0,0.0,2021-12-28,,,,,,,,,,,
VIC,292.0,69.0,2021-12-28,,,,,,,,,,,
WA,0.0,0.0,2021-12-28,,,,,,,,,,,
Australia,1188.0,126.0,2021-12-29,,,,,,,,,,,
ACT,4.0,0.0,2021-12-29,,,,,,,,,,,
NSW,564.0,61.0,2021-12-29,,,,,,,,,,,
NT,158.0,0.0,2021-12-29,,,,,,,,,,,
QLD,93.0,0.0,2021-12-29,,,,,,,,,,,
SA,34.0,3.0,2021-12-29,,,,,,,,,,,
TAS,0.0,0.0,2021-12-29,,,,,,,,,,,
VIC,335.0,62.0,2021-12-29,,,,,,,,,,,
WA,0.0,0.0,2021-12-29,,,,,,,,,,,
Australia,1359.0,122.0,2021-12-30,,,,,,,,,,,
ACT,4.0,0.0,2021-12-30,,,,,,,,,,,
NSW,684.0,63.0,2021-12-30,,,,,,,,,,,
NT,195.0,0.0,2021-12-30,,,,,,,,,,,
QLD,103.0,0.0,2021-12-30,,,,,,,,,,,
SA,33.0,4.0,2021-12-30,,,,,,,,,,,
TAS,0.0,0.0,2021-12-30,,,,,,,,,,,
VIC,340.0,55.0,2021-12-30,,,,,,,,,,,
WA,0.0,0.0,2021-12-30,,,,,,,,,,,
Australia,1463.0,128.0,2021-12-31,,,,,,,,,,,
ACT,6.0,0.0,2021-12-31,,,,,,,,,,,
NSW,765.0,69.0,2021-12-31,,,,,,,,,,,
NT,152.0,0.0,2021-12-31,,,,,,,,,,,
QLD,126.0,1.0,2021-12-31,,,,,,,,,,,
SA,40.0,4.0,2021-12-31,,,,,,,,,,,
TAS,0.0,0.0,2021-12-31,,,,,,,,,,,
VIC,374.0,54.0,2021-12-31,,,,,,,,,,,
WA,0.0,0.0,2021-12-31,,,,,,,,,,,
Australia,1608.0,135.0,2022-01-01,,,,,,,,,,,
ACT,6.0,0.0,2022-01-01,,,,,,,,,,,
NSW,824.0,79.0,2022-01-01,,,,,,,,,,,
NT,162.0,0.0,2022-01-01,,,,,,,,,,,
QLD,149.0,1.0,2022-01-01,,,,,,,,,,,
SA,67.0,4.0,2022-01-01,,,,,,,,,,,
TAS,0.0,0.0,2022-01-01,,,,,,,,,,,
VIC,400.0,51.0,2022-01-01,,,,,,,,,,,
WA,0.0,0.0,2022-01-01,,,,,,,,,,,
Australia,1830.0,148.0,2022-01-02,,,,,,,,,,,
ACT,8.0,1.0,2022-01-02,,,,,,,,,,,
NSW,986.0,83.0,2022-01-02,,,,,,,,,,,
NT,174.0,0.0,2022-01-02,,,,,,,,,,,
QLD,165.0,5.0,2022-01-02,,,,,,,,,,,
SA,75.0,7.0,2022-01-02,,,,,,,,,,,
TAS,2.0,0.0,2022-01-02,,,,,,,,,,,
VIC,420.0,52.0,2022-01-02,,,,,,,,,,,
WA,0.0,0.0,2022-01-02,,,,,,,,,,,
Australia,1987.0,171.0,2022-01-03,,,,,,,,,,,
ACT,9.0,2.0,2022-01-03,,,,,,,,,,,
NSW,1110.0,95.0,2022-01-03,,,,,,,,,,,
NT,177.0,0.0,2022-01-03,,,,,,,,,,,
QLD,171.0,9.0,2022-01-03,,,,,,,,,,,
SA,85.0,9.0,2022-01-03,,,,,,,,,,,
TAS,0.0,0.0,2022-01-03,,,,,,,,,,,
VIC,435.0,56.0,2022-01-03,,,,,,,,,,,
WA,0.0,0.0,2022-01-03,,,,,,,,,,,
Australia,2498.0,184.0,2022-01-04,,,,,,,,,,,
ACT,12.0,1.0,2022-01-04,,,,,,,,,,,
NSW,1245.0,104.0,2022-01-04,,,,,,,,,,,
NT,497.0,0.0,2022-01-04,,,,,,,,,,,
QLD,194.0,11.0,2022-01-04,,,,,,,,,,,
SA,90.0,12.0,2022-01-04,,,,,,,,,,,
TAS,0.0,0.0,2022-01-04,,,,,,,,,,,
VIC,460.0,56.0,2022-01-04,,,,,,,,,,,
WA,0.0,0.0,2022-01-04,,,,,,,,,,,
Australia,2907.0,194.0,2022-01-05,,,,,,,,,,,
ACT,15.0,1.0,2022-01-05,,,,,,,,,,,
NSW,1373.0,118.0,2022-01-05,,,,,,,,,,,
NT,599.0,0.0,2022-01-05,,,,,,,,,,,
QLD,265.0,10.0,2022-01-05,,,,,,,,,,,
SA,113.0,12.0,2022-01-05,,,,,,,,,,,
TAS,4.0,0.0,2022-01-05,,,,,,,,,,,
VIC,538.0,53.0,2022-01-05,,,,,,,,,,,
WA,0.0,0.0,2022-01-05,,,,,,,,,,,
Australia,3225.0,257.0,2022-01-06,,,,,,,,,,,
ACT,18.0,2.0,2022-01-06,,,,,,,,,,,
NSW,1479.0,130.0,2022-01-06,,,,,,,,,,,
NT,802.0,1.0,2022-01-06,,,,,,,,,,,
QLD,284.0,12.0,2022-01-06,,,,,,,,,,,
SA,111.0,12.0,2022-01-06,,,,,,,,,,,
TAS,0.0,0.0,2022-01-06,,,,,,,,,,,
VIC,531.0,100.0,2022-01-06,,,,,,,,,,,
WA,0.0,0.0,2022-01-06,,,,,,,,,,,
Australia,3704.0,275.0,2022-01-07,,,,,,,,,,,
ACT,21.0,3.0,2022-01-07,,,,,,,,,,,
NSW,1607.0,134.0,2022-01-07,,,,,,,,,,,
NT,1097.0,2.0,2022-01-07,,,,,,,,,,,
QLD,313.0,14.0,2022-01-07,,,,,,,,,,,
SA,128.0,16.0,2022-01-07,,,,,,,,,,,
TAS,0.0,0.0,2022-01-07,,,,,,,,,,,
VIC,538.0,106.0,2022-01-07,,,,,,,,,,,
WA,0.0,0.0,2022-01-07,,,,,,,,,,,
Australia,3955.0,291.0,2022-01-08,,,,,,,,,,,
ACT,19.0,5.0,2022-01-08,,,,,,,,,,,
NSW,1651.0,145.0,2022-01-08,,,,,,,,,,,
NT,1157.0,1.0,2022-01-08,,,,,,,,,,,
QLD,352.0,14.0,2022-01-08,,,,,,,,,,,
SA,148.0,16.0,2022-01-08,,,,,,,,,,,
TAS,6.0,1.0,2022-01-08,,,,,,,,,,,
VIC,622.0,109.0,2022-01-08,,,,,,,,,,,
WA,0.0,0.0,2022-01-08,,,,,,,,,,,
Australia,4798.0,299.0,2022-01-09,,,,,,,,,,,
ACT,23.0,4.0,2022-01-09,,,,,,,,,,,
NSW,1780.0,150.0,2022-01-09,,,,,,,,,,,
NT,1794.0,1.0,2022-01-09,,,,,,,,,,,
QLD,380.0,22.0,2022-01-09,,,,,,,,,,,
SA,158.0,18.0,2022-01-09,,,,,,,,,,,
TAS,15.0,0.0,2022-01-09,,,,,,,,,,,
VIC,648.0,104.0,2022-01-09,,,,,,,,,,,
WA,0.0,0.0,2022-01-09,,,,,,,,,,,
Australia,5342.0,324.0,2022-01-10,,,,,,,,,,,
ACT,21.0,4.0,2022-01-10,,,,,,,,,,,
NSW,1870.0,159.0,2022-01-10,,,,,,,,,,,
NT,2169.0,1.0,2022-01-10,,,,,,,,,,,
QLD,398.0,21.0,2022-01-10,,,,,,,,,,,
SA,167.0,21.0,2022-01-10,,,,,,,,,,,
TAS,17.0,0.0,2022-01-10,,,,,,,,,,,
VIC,700.0,118.0,2022-01-10,,,,,,,,,,,
WA,0.0,0.0,2022-01-10,,,,,,,,,,,
Australia,3527.0,342.0,2022-01-11,,,,,,,,,,,
ACT,24.0,4.0,2022-01-11,,,,,,,,,,,
NSW,2020.0,170.0,2022-01-11,,,,,,,,,,,
NT,30.0,2.0,2022-01-11,,,,,,,,,,,
QLD,502.0,27.0,2022-01-11,,,,,,,,,,,
SA,189.0,22.0,2022-01-11,,,,,,,,,,,
TAS,18.0,0.0,2022-01-11,,,,,,,,,,,
VIC,744.0,117.0,2022-01-11,,,,,,,,,,,
WA,0.0,0.0,2022-01-11,,,,,,,,,,,
Australia,3660.0,350.0,2022-01-12,,,,,,,,,,,
ACT,20.0,3.0,2022-01-12,,,,,,,,,,,
NSW,2071.0,175.0,2022-01-12,,,,,,,,,,,
NT,26.0,2.0,2022-01-12,,,,,,,,,,,
QLD,525.0,30.0,2022-01-12,,,,,,,,,,,
SA,163.0,27.0,2022-01-12,,,,,,,,,,,
TAS,21.0,1.0,2022-01-12,,,,,,,,,,,
VIC,834.0,112.0,2022-01-12,,,,,,,,,,,
WA,0.0,0.0,2022-01-12,,,,,,,,,,,
Australia,3891.0,306.0,2022-01-13,,,,,,,,,,,
ACT,21.0,3.0,2022-01-13,,,,,,,,,,,
NSW,2203.0,180.0,2022-01-13,,,,,,,,,,,
NT,32.0,1.0,2022-01-13,,,,,,,,,,,
QLD,530.0,26.0,2022-01-13,,,,,,,,,,,
SA,199.0,26.0,2022-01-13,,,,,,,,,,,
TAS,22.0,1.0,2022-01-13,,,,,,,,,,,
VIC,884.0,69.0,2022-01-13,,,,,,,,,,,
WA,0.0,0.0,2022-01-13,,,,,,,,,,,
Australia,4084.0,362.0,2022-01-14,,,,,,,,,,,
ACT,24.0,3.0,2022-01-14,,,,,,,,,,,
NSW,2362.0,185.0,2022-01-14,,,,,,,,,,,
NT,36.0,1.0,2022-01-14,,,,,,,,,,,
QLD,548.0,41.0,2022-01-14,,,,,,,,,,,
SA,226.0,20.0,2022-01-14,,,,,,,,,,,
TAS,24.0,0.0,2022-01-14,,,,,,,,,,,
VIC,864.0,112.0,2022-01-14,,,,,,,,,,,
WA,0.0,0.0,2022-01-14,,,,,,,,,,,
Australia,4129.0,383.0,2022-01-15,,,,,,,,,,,
ACT,27.0,3.0,2022-01-15,,,,,,,,,,,
NSW,2293.0,192.0,2022-01-15,,,,,,,,,,,
NT,36.0,0.0,2022-01-15,,,,,,,,,,,
QLD,603.0,46.0,2022-01-15,,,,,,,,,,,
SA,210.0,26.0,2022-01-15,,,,,,,,,,,
TAS,21.0,1.0,2022-01-15,,,,,,,,,,,
VIC,939.0,115.0,2022-01-15,,,,,,,,,,,
WA,0.0,0.0,2022-01-15,,,,,,,,,,,
Australia,4254.0,389.0,2022-01-16,,,,,,,,,,,
ACT,37.0,3.0,2022-01-16,,,,,,,,,,,
