Jurisdiction,Overseas,Locally acquired - contact of confirmed case,Locally acquired - unknown contact*,Locally acquired - interstate travel,Under investigation*,Total cases,Total deaths,Date,Locally acquired - unknown contact,Under investigation,"Population with at least one doses, 5+ years (%)","Population with two doses, 5+ years (%)","Eligible population with third dose, 16+ years (%)","Eligible population with fourth dose, 30+ years (%)"
QLD,1501.0,479.0,47.0,32.0,0.0,2059.0,7.0,2021-10-09,,,,,,
WA,994.0,93.0,14.0,9.0,0.0,1110.0,9.0,2021-10-09,,,,,,
TAS,85.0,141.0,5.0,5.0,0.0,236.0,13.0,2021-10-09,,,,,,
VIC,1224.0,31973.0,3871.0,0.0,13944.0,51012.0,900.0,2021-10-09,,,,,,
ACT,95.0,1004.0,147.0,31.0,19.0,1296.0,9.0,2021-10-09,,,,,,
SA,685.0,178.0,9.0,37.0,0.0,909.0,4.0,2021-10-09,,,,,,
Australia,8443.0,57358.0,45092.0,226.0,13963.0,125082.0,1421.0,2021-10-09,,,,,,
WA,994.0,93.0,14.0,9.0,0.0,1110.0,9.0,2021-10-10,,,,,,
ACT,95.0,1024.0,150.0,32.0,25.0,1326.0,9.0,2021-10-10,,,,,,
NSW,3662.0,23749.0,41192.0,109.0,0.0,68712.0,485.0,2021-10-10,,,,,,
NT,198.0,11.0,5.0,0.0,0.0,214.0,0.0,2021-10-10,,,,,,
QLD,1503.0,479.0,47.0,32.0,1.0,2062.0,7.0,2021-10-10,,,,,,
SA,685.0,178.0,9.0,38.0,0.0,910.0,4.0,2021-10-10,,,,,,
TAS,85.0,141.0,5.0,5.0,0.0,236.0,13.0,2021-10-10,,,,,,
Australia,8447.0,57698.0,45293.0,225.0,15791.0,127454.0,1432.0,2021-10-10,,,,,,
VIC,1225.0,32023.0,3871.0,0.0,15765.0,52884.0,905.0,2021-10-10,,,,,,
Australia,8453.0,58998.0,45356.0,233.0,16530.0,129570.0,1448.0,2021-10-11,,,,,,
ACT,95.0,1052.0,156.0,33.0,22.0,1358.0,9.0,2021-10-11,,,,,,
NSW,3664.0,24179.0,41253.0,109.0,0.0,69205.0,493.0,2021-10-11,,,,,,
NT,199.0,11.0,0.0,5.0,0.0,215.0,0.0,2021-10-11,,,,,,
QLD,1505.0,479.0,47.0,32.0,0.0,2063.0,7.0,2021-10-11,,,,,,
SA,686.0,178.0,9.0,40.0,0.0,913.0,4.0,2021-10-11,,,,,,
TAS,85.0,141.0,5.0,5.0,0.0,236.0,13.0,2021-10-11,,,,,,
VIC,1225.0,32865.0,3872.0,0.0,16508.0,54470.0,913.0,2021-10-11,,,,,,
WA,994.0,93.0,14.0,9.0,0.0,1110.0,9.0,2021-10-11,,,,,,
WA,995.0,93.0,14.0,9.0,0.0,1111.0,9.0,2021-10-12,,,,,,
QLD,1509.0,479.0,47.0,32.0,0.0,2067.0,7.0,2021-10-12,,,,,,
SA,686.0,178.0,9.0,41.0,0.0,914.0,4.0,2021-10-12,,,,,,
TAS,85.0,141.0,5.0,5.0,0.0,236.0,13.0,2021-10-12,,,,,,
VIC,1225.0,34306.0,3905.0,0.0,16462.0,55898.0,921.0,2021-10-12,,,,,,
ACT,95.0,1076.0,176.0,33.0,6.0,1386.0,9.0,2021-10-12,,,,,,
Australia,8457.0,60794.0,45426.0,235.0,16468.0,131380.0,1461.0,2021-10-12,,,,,,
NSW,3663.0,24510.0,41270.0,109.0,0.0,69552.0,498.0,2021-10-12,,,,,,
NT,199.0,11.0,0.0,6.0,0.0,216.0,0.0,2021-10-12,,,,,,
VIC,1225.0,34306.0,3905.0,0.0,16462.0,55898.0,921.0,2021-10-13,,,,,,
TAS,85.0,141.0,5.0,5.0,0.0,236.0,13.0,2021-10-13,,,,,,
QLD,1509.0,479.0,47.0,32.0,0.0,2067.0,7.0,2021-10-13,,,,,,
NT,199.0,11.0,0.0,6.0,0.0,216.0,0.0,2021-10-13,,,,,,
NSW,3663.0,24510.0,41270.0,109.0,0.0,69552.0,498.0,2021-10-13,,,,,,
WA,995.0,93.0,14.0,9.0,0.0,1111.0,9.0,2021-10-13,,,,,,
SA,686.0,178.0,9.0,41.0,0.0,914.0,4.0,2021-10-13,,,,,,
Australia,8457.0,60794.0,45426.0,235.0,16468.0,131380.0,1461.0,2021-10-13,,,,,,
ACT,95.0,1076.0,176.0,33.0,6.0,1386.0,9.0,2021-10-13,,,,,,
WA,995.0,93.0,14.0,9.0,0.0,1111.0,9.0,2021-10-14,,,,,,
VIC,1227.0,35943.0,3931.0,0.0,18609.0,59710.0,945.0,2021-10-14,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-14,,,,,,
SA,686.0,179.0,9.0,40.0,0.0,914.0,4.0,2021-10-14,,,,,,
QLD,1509.0,479.0,47.0,32.0,0.0,2067.0,7.0,2021-10-14,,,,,,
NT,204.0,11.0,0.0,7.0,0.0,222.0,0.0,2021-10-14,,,,,,
NSW,3666.0,25208.0,41408.0,109.0,0.0,70391.0,508.0,2021-10-14,,,,,,
ACT,95.0,1151.0,194.0,33.0,10.0,1483.0,10.0,2021-10-14,,,,,,
Australia,8467.0,63205.0,45608.0,236.0,18619.0,136135.0,1496.0,2021-10-14,,,,,,
Australia,8468.0,63454.0,45825.0,240.0,20734.0,138721.0,1506.0,2021-10-15,,,,,,
ACT,95.0,1178.0,199.0,35.0,11.0,1518.0,10.0,2021-10-15,,,,,,
NSW,3666.0,25397.0,41608.0,110.0,0.0,70781.0,512.0,2021-10-15,,,,,,
NT,204.0,11.0,0.0,7.0,0.0,222.0,0.0,2021-10-15,,,,,,
QLD,1510.0,479.0,47.0,33.0,0.0,2069.0,7.0,2021-10-15,,,,,,
SA,686.0,179.0,9.0,40.0,0.0,914.0,4.0,2021-10-15,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-15,,,,,,
VIC,1227.0,35976.0,3943.0,0.0,20723.0,61869.0,951.0,2021-10-15,,,,,,
WA,995.0,93.0,14.0,9.0,0.0,1111.0,9.0,2021-10-15,,,,,,
ACT,95.0,1193.0,199.0,35.0,16.0,1538.0,11.0,2021-10-16,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-16,,,,,,
QLD,1512.0,479.0,47.0,33.0,0.0,2071.0,7.0,2021-10-16,,,,,,
SA,687.0,179.0,9.0,40.0,0.0,915.0,4.0,2021-10-16,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-16,,,,,,
VIC,1227.0,38267.0,3948.0,0.0,20394.0,63836.0,957.0,2021-10-16,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-16,,,,,,
NSW,3667.0,25569.0,41753.0,110.0,0.0,71099.0,514.0,2021-10-16,,,,,,
Australia,8473.0,65932.0,45975.0,243.0,20410.0,141033.0,1515.0,2021-10-16,,,,,,
ACT,95.0,1222.0,211.0,35.0,8.0,1571.0,11.0,2021-10-17,,,,,,
Australia,8473.0,66964.0,46114.0,243.0,21341.0,143135.0,1531.0,2021-10-17,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-17,,,,,,
SA,687.0,179.0,9.0,40.0,0.0,915.0,4.0,2021-10-17,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-17,,,,,,
VIC,1227.0,39092.0,3953.0,0.0,21333.0,65605.0,963.0,2021-10-17,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-17,,,,,,
NSW,3667.0,25747.0,41875.0,110.0,0.0,71399.0,524.0,2021-10-17,,,,,,
QLD,1512.0,479.0,47.0,33.0,0.0,2071.0,7.0,2021-10-17,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-18,,,,,,
QLD,1512.0,479.0,47.0,33.0,0.0,2071.0,7.0,2021-10-18,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-18,,,,,,
Australia,8474.0,68083.0,46181.0,243.0,22282.0,145263.0,1543.0,2021-10-18,,,,,,
ACT,95.0,1234.0,219.0,35.0,5.0,1588.0,11.0,2021-10-18,,,,,,
NSW,3668.0,25951.0,41929.0,110.0,0.0,71658.0,529.0,2021-10-18,,,,,,
SA,687.0,179.0,9.0,40.0,0.0,915.0,4.0,2021-10-18,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-18,,,,,,
VIC,1227.0,39995.0,3958.0,0.0,22277.0,67457.0,970.0,2021-10-18,,,,,,
Australia,8475.0,69391.0,46280.0,243.0,22886.0,147275.0,1558.0,2021-10-19,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-19,,,,,,
NSW,3668.0,26147.0,41998.0,110.0,0.0,71923.0,533.0,2021-10-19,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-19,,,,,,
QLD,1512.0,479.0,47.0,33.0,0.0,2071.0,7.0,2021-10-19,,,,,,
SA,688.0,179.0,9.0,40.0,0.0,916.0,4.0,2021-10-19,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-19,,,,,,
VIC,1227.0,41083.0,3983.0,0.0,22886.0,69179.0,981.0,2021-10-19,,,,,,
ACT,95.0,1258.0,224.0,35.0,0.0,1612.0,11.0,2021-10-19,,,,,,
VIC,1228.0,41883.0,4003.0,0.0,23884.0,70998.0,993.0,2021-10-20,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-20,,,,,,
Australia,8477.0,70416.0,46378.0,243.0,23884.0,149398.0,1577.0,2021-10-20,,,,,,
ACT,95.0,1274.0,232.0,35.0,0.0,1636.0,11.0,2021-10-20,,,,,,
NSW,3668.0,26356.0,42068.0,110.0,0.0,72202.0,540.0,2021-10-20,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-20,,,,,,
QLD,1513.0,479.0,47.0,33.0,0.0,2072.0,7.0,2021-10-20,,,,,,
SA,688.0,179.0,9.0,40.0,0.0,916.0,4.0,2021-10-20,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-20,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-21,,,,,,
Australia,8487.0,71788.0,46499.0,244.0,24925.0,151943.0,1590.0,2021-10-21,,,,,,
ACT,95.0,1292.0,241.0,36.0,0.0,1664.0,11.0,2021-10-21,,,,,,
NSW,3670.0,26605.0,42175.0,110.0,0.0,72560.0,541.0,2021-10-21,,,,,,
QLD,1517.0,479.0,48.0,33.0,0.0,2077.0,7.0,2021-10-21,,,,,,
SA,689.0,179.0,9.0,40.0,0.0,917.0,4.0,2021-10-21,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-21,,,,,,
VIC,1231.0,42988.0,4007.0,0.0,24925.0,73151.0,1005.0,2021-10-21,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-21,,,,,,
ACT,95.0,1292.0,241.0,36.0,0.0,1664.0,11.0,2021-10-22,,,,,,
Australia,8487.0,71788.0,46499.0,244.0,24925.0,151943.0,1590.0,2021-10-22,,,,,,
VIC,1231.0,42988.0,4007.0,0.0,24925.0,73151.0,1005.0,2021-10-22,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-22,,,,,,
SA,689.0,179.0,9.0,40.0,0.0,917.0,4.0,2021-10-22,,,,,,
QLD,1517.0,479.0,48.0,33.0,0.0,2077.0,7.0,2021-10-22,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-22,,,,,,
NSW,3670.0,26605.0,42175.0,110.0,0.0,72560.0,541.0,2021-10-22,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-22,,,,,,
VIC,1235.0,43122.0,4022.0,0.0,28507.0,76886.0,1030.0,2021-10-23,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-23,,,,,,
QLD,1522.0,479.0,47.0,34.0,0.0,2082.0,7.0,2021-10-23,,,,,,
SA,689.0,179.0,9.0,40.0,0.0,917.0,4.0,2021-10-23,,,,,,
NSW,3672.0,27070.0,42360.0,110.0,0.0,73212.0,548.0,2021-10-23,,,,,,
ACT,95.0,1321.0,249.0,36.0,0.0,1701.0,11.0,2021-10-23,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-23,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-23,,,,,,
Australia,8498.0,72416.0,46706.0,245.0,28507.0,156372.0,1622.0,2021-10-23,,,,,,
Australia,8497.0,75333.0,46561.0,247.0,27909.0,158547.0,1637.0,2021-10-24,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-24,,,,,,
VIC,1234.0,45598.0,4022.0,0.0,27909.0,78763.0,1041.0,2021-10-24,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-24,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-10-24,,,,,,
QLD,1522.0,479.0,47.0,34.0,0.0,2082.0,7.0,2021-10-24,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-24,,,,,,
NSW,3671.0,27502.0,42217.0,110.0,0.0,73500.0,552.0,2021-10-24,,,,,,
ACT,95.0,1330.0,247.0,38.0,0.0,1710.0,11.0,2021-10-24,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-25,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-25,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-10-25,,,,,,
QLD,1522.0,479.0,47.0,34.0,0.0,2082.0,7.0,2021-10-25,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-25,,,,,,
NSW,3671.0,27973.0,42031.0,110.0,0.0,73785.0,556.0,2021-10-25,,,,,,
ACT,95.0,1338.0,249.0,37.0,0.0,1719.0,11.0,2021-10-25,,,,,,
Australia,8497.0,75869.0,46377.0,246.0,29241.0,160230.0,1648.0,2021-10-25,,,,,,
VIC,1234.0,45655.0,4022.0,0.0,29241.0,80152.0,1048.0,2021-10-25,,,,,,
ACT,96.0,1348.0,250.0,37.0,0.0,1731.0,11.0,2021-10-26,,,,,,
NSW,3673.0,28671.0,41603.0,110.0,0.0,74057.0,557.0,2021-10-26,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-26,,,,,,
QLD,1523.0,480.0,47.0,35.0,0.0,2085.0,7.0,2021-10-26,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-10-26,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-26,,,,,,
VIC,1234.0,46628.0,4036.0,0.0,29753.0,81651.0,1052.0,2021-10-26,,,,,,
Australia,8501.0,77551.0,45964.0,247.0,29753.0,162016.0,1653.0,2021-10-26,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-26,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-27,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-27,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-10-27,,,,,,
QLD,1524.0,480.0,47.0,35.0,0.0,2086.0,7.0,2021-10-27,,,,,,
VIC,1233.0,48120.0,4045.0,0.0,29700.0,83098.0,1065.0,2021-10-27,,,,,,
NSW,3674.0,29909.0,40659.0,110.0,0.0,74352.0,560.0,2021-10-27,,,,,,
ACT,96.0,1356.0,251.0,38.0,0.0,1741.0,11.0,2021-10-27,,,,,,
Australia,8502.0,80289.0,45030.0,248.0,29700.0,163769.0,1669.0,2021-10-27,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-27,,,,,,
ACT,96.0,1364.0,251.0,38.0,0.0,1749.0,11.0,2021-10-28,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-28,,,,,,
QLD,1525.0,480.0,47.0,35.0,0.0,2087.0,7.0,2021-10-28,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-10-28,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-28,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-28,,,,,,
NSW,3674.0,30425.0,40425.0,110.0,0.0,74634.0,562.0,2021-10-28,,,,,,
Australia,8503.0,81756.0,44798.0,248.0,30599.0,165904.0,1696.0,2021-10-28,,,,,,
VIC,1233.0,49063.0,4047.0,0.0,30599.0,84942.0,1090.0,2021-10-28,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-10-29,,,,,,
Australia,8507.0,83166.0,44461.0,248.0,31408.0,167790.0,1708.0,2021-10-29,,,,,,
ACT,96.0,1370.0,255.0,38.0,0.0,1759.0,11.0,2021-10-29,,,,,,
NSW,3675.0,31032.0,40070.0,110.0,0.0,74887.0,564.0,2021-10-29,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-29,,,,,,
QLD,1527.0,480.0,47.0,35.0,0.0,2089.0,7.0,2021-10-29,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-29,,,,,,
VIC,1234.0,49860.0,4061.0,0.0,31408.0,86563.0,1100.0,2021-10-29,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-29,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-30,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-10-30,,,,,,
QLD,1527.0,480.0,47.0,35.0,0.0,2089.0,7.0,2021-10-30,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-30,,,,,,
NSW,3676.0,31431.0,39895.0,110.0,0.0,75112.0,567.0,2021-10-30,,,,,,
ACT,96.0,1375.0,255.0,42.0,0.0,1768.0,11.0,2021-10-30,,,,,,
VIC,1234.0,50829.0,4074.0,0.0,31757.0,87894.0,1111.0,2021-10-30,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-30,,,,,,
Australia,8508.0,84539.0,44299.0,252.0,31757.0,169355.0,1722.0,2021-10-30,,,,,,
VIC,1234.0,51257.0,4092.0,0.0,32241.0,88824.0,1122.0,2021-10-31,,,,,,
Australia,8509.0,85428.0,44028.0,252.0,32241.0,170458.0,1734.0,2021-10-31,,,,,,
ACT,96.0,1382.0,255.0,42.0,0.0,1775.0,11.0,2021-10-31,,,,,,
NSW,3677.0,31885.0,39606.0,110.0,0.0,75278.0,568.0,2021-10-31,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-10-31,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-10-31,,,,,,
QLD,1527.0,480.0,47.0,35.0,0.0,2089.0,7.0,2021-10-31,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-10-31,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-10-31,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-11-01,,,,,,
VIC,1234.0,51317.0,4096.0,0.0,33614.0,90261.0,1125.0,2021-11-01,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-11-01,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-11-01,,,,,,
QLD,1528.0,480.0,47.0,35.0,0.0,2090.0,7.0,2021-11-01,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-11-01,,,,,,
NSW,3676.0,32490.0,39130.0,111.0,0.0,75407.0,572.0,2021-11-01,,,,,,
ACT,96.0,1386.0,256.0,42.0,0.0,1780.0,13.0,2021-11-01,,,,,,
Australia,8509.0,86097.0,43557.0,253.0,33614.0,172030.0,1743.0,2021-11-01,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-11-02,,,,,,
Australia,8509.0,87998.0,43139.0,255.0,33264.0,173165.0,1756.0,2021-11-02,,,,,,
ACT,96.0,1394.0,256.0,42.0,0.0,1788.0,13.0,2021-11-02,,,,,,
NSW,3676.0,33091.0,38698.0,113.0,0.0,75578.0,576.0,2021-11-02,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-11-02,,,,,,
QLD,1528.0,480.0,47.0,35.0,0.0,2090.0,7.0,2021-11-02,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-11-02,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-11-02,,,,,,
VIC,1234.0,52609.0,4110.0,0.0,33264.0,91217.0,1134.0,2021-11-02,,,,,,
NSW,3676.0,33636.0,38339.0,114.0,0.0,75765.0,580.0,2021-11-03,,,,,,
NT,204.0,11.0,0.0,10.0,0.0,225.0,0.0,2021-11-03,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-11-03,,,,,,
QLD,1527.0,480.0,47.0,35.0,0.0,2089.0,7.0,2021-11-03,,,,,,
VIC,1234.0,53225.0,4112.0,0.0,33555.0,92126.0,1142.0,2021-11-03,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-11-03,,,,,,
ACT,96.0,1407.0,258.0,42.0,0.0,1803.0,13.0,2021-11-03,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-11-03,,,,,,
Australia,8508.0,89172.0,42784.0,256.0,33555.0,174275.0,1768.0,2021-11-03,,,,,,
QLD,1527.0,481.0,47.0,36.0,1.0,2092.0,7.0,2021-11-04,,,,,,
ACT,96.0,1420.0,257.0,42.0,1.0,1816.0,13.0,2021-11-04,,,,,,
Australia,8510.0,90602.0,42369.0,259.0,34073.0,175813.0,1781.0,2021-11-04,,,,,,
VIC,1234.0,53907.0,4127.0,0.0,34071.0,93339.0,1151.0,2021-11-04,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-11-04,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-11-04,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-11-04,,,,,,
NT,205.0,11.0,0.0,10.0,0.0,226.0,0.0,2021-11-04,,,,,,
NSW,3677.0,34370.0,37910.0,116.0,0.0,76073.0,584.0,2021-11-04,,,,,,
VIC,1234.0,54528.0,4133.0,0.0,34774.0,94669.0,1161.0,2021-11-05,,,,,,
ACT,97.0,1424.0,258.0,42.0,1.0,1822.0,14.0,2021-11-05,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-11-05,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-11-05,,,,,,
QLD,1529.0,481.0,47.0,36.0,1.0,2094.0,7.0,2021-11-05,,,,,,
NT,205.0,11.0,1.0,10.0,0.0,227.0,0.0,2021-11-05,,,,,,
NSW,3677.0,34981.0,37539.0,117.0,0.0,76314.0,587.0,2021-11-05,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-11-05,,,,,,
Australia,8513.0,91838.0,42006.0,260.0,34776.0,177393.0,1795.0,2021-11-05,,,,,,
NT,205.0,12.0,1.0,10.0,1.0,229.0,0.0,2021-11-06,,,,,,
SA,690.0,179.0,9.0,40.0,0.0,918.0,4.0,2021-11-06,,,,,,
QLD,1529.0,482.0,47.0,37.0,0.0,2095.0,7.0,2021-11-06,,,,,,
NSW,3678.0,35541.0,37243.0,118.0,0.0,76580.0,590.0,2021-11-06,,,,,,
ACT,97.0,1436.0,264.0,43.0,0.0,1840.0,14.0,2021-11-06,,,,,,
Australia,8514.0,93031.0,41731.0,263.0,35389.0,178928.0,1805.0,2021-11-06,,,,,,
WA,996.0,93.0,14.0,9.0,0.0,1112.0,9.0,2021-11-06,,,,,,
TAS,85.0,141.0,5.0,6.0,0.0,237.0,13.0,2021-11-06,,,,,,
VIC,1234.0,55147.0,4148.0,0.0,35388.0,95917.0,1168.0,2021-11-06,,,,,,
Australia,8517.0,94154.0,41518.0,266.0,35852.0,180307.0,1815.0,2021-11-07,,,,,,
VIC,1234.0,55800.0,4157.0,0.0,35852.0,97043.0,1177.0,2021-11-07,,,,,,
